,folder,pdb_file,mol2_file,surflex_score,Ki(nM),IC50(nM),Kd(nM),unique_id,pKi,pIC50,pKd,pK,max_tanimoto_schrodinger,max_tanimoto_merck,max_tanimoto_validation,max_tanimoto_fep_benchmark
10,4DBU_BT9,4DBU.pdb,4DBU-results_50337288.mol2,6.4175,,700,,4DBU_BT9_4DBU-results_50337288,,[6.154901959985743],,6.154901959985743,0.2909090909090909,0.2774193548387096,0.3070175438596491,0.2950819672131147
11,2AYP_43A,2AYP.pdb,2AYP-results_14649.mol2,10.3898,32.0,7,,2AYP_43A_2AYP-results_14649,[7.494850021680094],[8.154901959985743],,7.494850021680094,0.2207792207792207,0.2426470588235294,0.2281879194630872,1.0
12,2AYP_43A,2AYP.pdb,2AYP-results_14650.mol2,10.0034,,92,,2AYP_43A_2AYP-results_14650,,[7.036212172654444],,7.036212172654444,0.2409638554216867,0.2624113475177305,0.3540372670807453,0.639344262295082
13,2AYP_43A,2AYP.pdb,2AYP-results_14654.mol2,9.5236,,29,,2AYP_43A_2AYP-results_14654,,[7.5376020021010435],,7.5376020021010435,0.2312925170068027,0.2137404580152671,0.2361111111111111,0.6666666666666666
14,2AYP_43A,2AYP.pdb,2AYP-results_14660.mol2,10.9964,,120,,2AYP_43A_2AYP-results_14660,,[6.920818753952375],,6.920818753952375,0.1986754966887417,0.2446043165467626,0.2635135135135135,0.6460176991150443
15,2AYP_43A,2AYP.pdb,2AYP-results_14661.mol2,10.8374,,3465,,2AYP_43A_2AYP-results_14661,,[5.460296761052175],,5.460296761052175,0.2052980132450331,0.2328767123287671,0.2356687898089172,0.6083333333333333
16,2AYP_43A,2AYP.pdb,2AYP-results_14665.mol2,9.6461,,18,,2AYP_43A_2AYP-results_14665,,[7.7447274948966935],,7.744727494896693,0.2052980132450331,0.2395209580838323,0.23841059602649,1.0
17,2AYP_43A,2AYP.pdb,2AYP-results_14666.mol2,12.3963,,75,,2AYP_43A_2AYP-results_14666,,[7.1249387366083],,7.1249387366083,0.1860465116279069,0.2058823529411764,0.2243589743589743,0.5333333333333333
18,2AYP_43A,2AYP.pdb,2AYP-results_14667.mol2,10.9362,,1280,,2AYP_43A_2AYP-results_14667,,[5.892790030352131],,5.892790030352131,0.1840490797546012,0.2088607594936709,0.2202380952380952,0.5454545454545454
19,2AYP_43A,2AYP.pdb,2AYP-results_14668.mol2,11.4478,,47,,2AYP_43A_2AYP-results_14668,,[7.327902142064283],,7.327902142064283,0.1829268292682926,0.2341772151898734,0.2375,0.576
20,2AYP_43A,2AYP.pdb,2AYP-results_14669.mol2,8.223,,25,,2AYP_43A_2AYP-results_14669,,[7.6020599913279625],,7.602059991327962,0.2129032258064516,0.2335766423357664,0.2281879194630872,1.0
21,2AYP_43A,2AYP.pdb,2AYP-results_50325283.mol2,10.0182,,21,,2AYP_43A_2AYP-results_50325283,,[7.6777807052660805],,7.67778070526608,0.2214765100671141,0.2426470588235294,0.2251655629139073,0.7169811320754716
22,2W6Z_L21,2W6Z.pdb,2W6Z-results_32651.mol2,7.2951,,1500000,,2W6Z_L21_2W6Z-results_32651,,[2.8239087409443187],,2.8239087409443187,0.1008403361344537,0.1272727272727272,0.1475409836065573,0.1304347826086956
23,3QG2_CP6,3QG2.pdb,3QG2-results_18512.mol2,3.0175,283.0,,,3QG2_CP6_3QG2-results_18512,[6.548213564475709],,,6.548213564475709,0.2616822429906542,0.2222222222222222,0.3365384615384615,0.2616822429906542
24,1GSF_EAA,1GSF.pdb,1GSF-results_50186223.mol2,1.9056,,39,,1GSF_EAA_1GSF-results_50186223,,[7.4089353929735005],,7.4089353929735005,0.1268115942028985,0.1365079365079365,0.1830508474576271,0.1365079365079365
25,1GSF_EAA,1GSF.pdb,1GSF-results_50186225.mol2,9.4793,,14,,1GSF_EAA_1GSF-results_50186225,,[7.853871964321762],,7.853871964321762,0.1343873517786561,0.1477663230240549,0.1806020066889632,0.1477663230240549
26,1GSF_EAA,1GSF.pdb,1GSF-results_50186226.mol2,5.27,,13850,,1GSF_EAA_1GSF-results_50186226,,[4.858550226599532],,4.858550226599532,0.2098765432098765,0.19,0.2167487684729064,0.2098765432098765
27,1GSF_EAA,1GSF.pdb,1GSF-results_50186228.mol2,4.5605,,33,,1GSF_EAA_1GSF-results_50186228,,[7.481486060122112],,7.481486060122112,0.1538461538461538,0.166023166023166,0.2113207547169811,0.1709401709401709
28,1GSF_EAA,1GSF.pdb,1GSF-results_50186229.mol2,4.808,,24,,1GSF_EAA_1GSF-results_50186229,,[7.619788758288394],,7.619788758288394,0.1365461847389558,0.1498257839721254,0.1830508474576271,0.1526717557251908
29,1GSF_EAA,1GSF.pdb,1GSF-results_50186231.mol2,4.3386,,5000,,1GSF_EAA_1GSF-results_50186231,,[5.301029995663981],,5.301029995663981,0.2434782608695652,0.1610169491525423,0.174496644295302,0.2434782608695652
30,1TL1_H18,1TL1.pdb,1TL1-results_12078.mol2,8.3655,,710,,1TL1_H18_1TL1-results_12078,,[6.1487416512809245],,6.1487416512809245,0.2428571428571428,0.203125,0.2340425531914893,0.2428571428571428
31,1TL1_H18,1TL1.pdb,1TL1-results_12079.mol2,7.4443,,630,,1TL1_H18_1TL1-results_12079,,[6.200659450546418],,6.200659450546418,0.2463768115942029,0.216,0.2262773722627737,0.2463768115942029
32,1TL1_H18,1TL1.pdb,1TL1-results_12080.mol2,8.3669,,240,,1TL1_H18_1TL1-results_12080,,[6.619788758288394],,6.619788758288394,0.2428571428571428,0.203125,0.2340425531914893,0.2428571428571428
33,1TL1_H18,1TL1.pdb,1TL1-results_12081.mol2,8.2979,,380,,1TL1_H18_1TL1-results_12081,,[6.42021640338319],,6.42021640338319,0.2394366197183098,0.2,0.2307692307692307,0.2394366197183098
34,2P7G_2OH,2P7G.pdb,2P7G-results_29608.mol2,6.8471,,13;5,,2P7G_2OH_2P7G-results_29608,,"[7.886056647693163, 8.301029995663981]",,8.093543321678572,0.1774193548387097,0.2719298245614035,0.2136752136752136,0.2719298245614035
35,2P7G_2OH,2P7G.pdb,2P7G-results_29609.mol2,4.9618,,14,,2P7G_2OH_2P7G-results_29609,,[7.853871964321762],,7.853871964321762,0.2177419354838709,0.3092783505154639,0.2962962962962963,0.3404255319148936
36,1H0V_UN4,1H0V.pdb,1H0V-results_5461.mol2,7.0697,,67000,,1H0V_UN4_1H0V-results_5461,,[4.173925197299174],,4.173925197299174,0.2654867256637168,0.1129032258064516,0.1414141414141414,0.2654867256637168
37,1H0V_UN4,1H0V.pdb,1H0V-results_5462.mol2,7.6992,,48000,,1H0V_UN4_1H0V-results_5462,,[4.318758762624412],,4.318758762624412,0.2564102564102564,0.1139240506329113,0.1472868217054263,0.2564102564102564
38,1H0V_UN4,1H0V.pdb,1H0V-results_5463.mol2,7.8726,,49000,,1H0V_UN4_1H0V-results_5463,,[4.309803919971486],,4.309803919971486,0.248,0.1180124223602484,0.1603053435114503,0.248
39,1H0V_UN4,1H0V.pdb,1H0V-results_5467.mol2,7.9663,,42000,,1H0V_UN4_1H0V-results_5467,,[4.376750709602099],,4.376750709602099,0.2608695652173913,0.1443298969072164,0.1386138613861386,0.2608695652173913
40,1H0V_UN4,1H0V.pdb,1H0V-results_5468.mol2,8.4585,,15000,,1H0V_UN4_1H0V-results_5468,,[4.823908740944319],,4.823908740944319,0.2521008403361344,0.116504854368932,0.135593220338983,0.2521008403361344
41,1H0V_UN4,1H0V.pdb,1H0V-results_5469.mol2,8.411,,26000,,1H0V_UN4_1H0V-results_5469,,[4.585026652029182],,4.585026652029182,0.2521008403361344,0.1386138613861386,0.1333333333333333,0.2521008403361344
42,1H0V_UN4,1H0V.pdb,1H0V-results_5473.mol2,8.2017,,47000,,1H0V_UN4_1H0V-results_5473,,[4.327902142064283],,4.327902142064283,0.24,0.108433734939759,0.1328125,0.24
43,1H0V_UN4,1H0V.pdb,1H0V-results_5483.mol2,8.6649,,21000,,1H0V_UN4_1H0V-results_5483,,[4.6777807052660805],,4.6777807052660805,0.5,0.1612903225806451,0.1865671641791045,0.5
44,1H0V_UN4,1H0V.pdb,1H0V-results_5485.mol2,8.8572,12000.0,17000,,1H0V_UN4_1H0V-results_5485,[4.920818753952375],[4.769551078621726],,4.920818753952375,0.5533980582524272,0.15625,0.2164179104477611,0.5533980582524272
45,1H0V_UN4,1H0V.pdb,1H0V-results_5490.mol2,9.0976,,44000,,1H0V_UN4_1H0V-results_5490,,[4.356547323513812],,4.356547323513812,0.4260869565217391,0.1515151515151515,0.2459016393442623,0.4260869565217391
46,3TNH_F18,3TNH.pdb,3TNH-results_12024.mol2,5.8895,,15000,,3TNH_F18_3TNH-results_12024,,[4.823908740944319],,4.823908740944319,0.1962616822429906,0.2083333333333333,0.1913043478260869,0.3023255813953488
47,3TNH_F18,3TNH.pdb,3TNH-results_12025.mol2,5.6027,,5600,,3TNH_F18_3TNH-results_12025,,[5.251811972993799],,5.251811972993799,0.1610169491525423,0.1682242990654205,0.1607142857142857,0.2346938775510204
48,3TNH_F18,3TNH.pdb,3TNH-results_12026.mol2,6.8541,,12400,,3TNH_F18_3TNH-results_12026,,[4.906578314837765],,4.906578314837765,0.1607142857142857,0.1610169491525423,0.1933333333333333,0.216867469879518
49,3TNH_F18,3TNH.pdb,3TNH-results_12027.mol2,7.2218,,1500,,3TNH_F18_3TNH-results_12027,,[5.823908740944319],,5.823908740944319,0.1481481481481481,0.1592920353982301,0.1678321678321678,0.2337662337662337
50,3TNH_F18,3TNH.pdb,3TNH-results_12028.mol2,7.3086,350.0,350,,3TNH_F18_3TNH-results_12028,[6.455931955649724],[6.455931955649724],,6.455931955649724,0.1746031746031746,0.1721311475409836,0.1836734693877551,0.2258064516129032
51,3TNH_F18,3TNH.pdb,3TNH-results_12029.mol2,5.7908,,26000,,3TNH_F18_3TNH-results_12029,,[4.585026652029182],,4.585026652029182,0.1896551724137931,0.160377358490566,0.1824324324324324,0.2395833333333333
52,2P3G_F10,2P3G.pdb,2P3G-results_30178.mol2,5.165,,66,,2P3G_F10_2P3G-results_30178,,[7.180456064458132],,7.180456064458132,0.25,0.2894736842105263,0.2748091603053435,0.2894736842105263
53,2P3G_F10,2P3G.pdb,2P3G-results_30179.mol2,4.9187,,56,,2P3G_F10_2P3G-results_30179,,[7.251811972993799],,7.251811972993799,0.2323943661971831,0.2098765432098765,0.2748091603053435,0.2767857142857143
54,2P3G_F10,2P3G.pdb,2P3G-results_30180.mol2,4.7523,,48,,2P3G_F10_2P3G-results_30180,,[7.318758762624412],,7.318758762624412,0.265625,0.2363636363636363,0.2748091603053435,0.265625
55,2P3G_F10,2P3G.pdb,2P3G-results_30181.mol2,4.4002,,83,,2P3G_F10_2P3G-results_30181,,[7.080921907623926],,7.080921907623926,0.2191780821917808,0.1949685534591195,0.2748091603053435,0.2827586206896552
56,2P3G_F10,2P3G.pdb,2P3G-results_30183.mol2,5.5549,,52,,2P3G_F10_2P3G-results_30183,,[7.2839966563652006],,7.2839966563652,0.2738853503184713,0.238095238095238,0.3209876543209876,0.2738853503184713
57,2P3G_F10,2P3G.pdb,2P3G-results_30189.mol2,4.7388,,606,,2P3G_F10_2P3G-results_30189,,[6.217527375833714],,6.217527375833714,0.2569444444444444,0.2109375,0.291044776119403,0.2956521739130435
58,2P3G_F10,2P3G.pdb,2P3G-results_30190.mol2,5.01,,37,,2P3G_F10_2P3G-results_30190,,[7.431798275933005],,7.431798275933005,0.2733812949640288,0.225563909774436,0.2814814814814815,0.2844827586206896
59,2P3G_F10,2P3G.pdb,2P3G-results_30191.mol2,4.8217,,32,,2P3G_F10_2P3G-results_30191,,[7.494850021680094],,7.494850021680094,0.2162162162162162,0.25,0.2857142857142857,0.25
60,2P3G_F10,2P3G.pdb,2P3G-results_30192.mol2,4.975,,560;8900,,2P3G_F10_2P3G-results_30192,,"[6.251811972993799, 5.050609993355087]",,5.651210983174443,0.2027027027027027,0.2109375,0.2356687898089172,0.2430555555555555
61,2P3G_F10,2P3G.pdb,2P3G-results_30193.mol2,5.1496,,30,,2P3G_F10_2P3G-results_30193,,[7.522878745280337],,7.522878745280337,0.2262773722627737,0.2550335570469799,0.2384615384615384,0.2550335570469799
62,2P3G_F10,2P3G.pdb,2P3G-results_30194.mol2,5.0514,,50,,2P3G_F10_2P3G-results_30194,,[7.301029995663981],,7.301029995663981,0.2039473684210526,0.25,0.2666666666666666,0.2803030303030303
63,2P3G_F10,2P3G.pdb,2P3G-results_30195.mol2,5.5328,,71,,2P3G_F10_2P3G-results_30195,,[7.1487416512809245],,7.1487416512809245,0.2465753424657534,0.2987012987012987,0.2606060606060606,0.316546762589928
64,2P3G_F10,2P3G.pdb,2P3G-results_30196.mol2,5.2386,,62,,2P3G_F10_2P3G-results_30196,,[7.2076083105017466],,7.207608310501746,0.2253521126760563,0.2264150943396226,0.2625,0.2430555555555555
65,2P3G_F10,2P3G.pdb,2P3G-results_30197.mol2,5.5957,,51,,2P3G_F10_2P3G-results_30197,,[7.292429823902063],,7.292429823902063,0.1935483870967742,0.2451612903225806,0.25,0.2482758620689655
66,2P3G_F10,2P3G.pdb,2P3G-results_30199.mol2,6.1207,,41,,2P3G_F10_2P3G-results_30199,,[7.3872161432802645],,7.387216143280264,0.2080536912751678,0.2653061224489796,0.2484076433121019,0.2653061224489796
67,2HXL_422,2HXL.pdb,2HXL-results_12113.mol2,4.9639,,17.0,,2HXL_422_2HXL-results_12113,,[7.769551078621726],,7.769551078621726,0.1912568306010929,0.2514619883040935,0.2513966480446927,0.52
68,2HXL_422,2HXL.pdb,2HXL-results_12114.mol2,4.556,,120.0,,2HXL_422_2HXL-results_12114,,[6.920818753952375],,6.920818753952375,0.2420382165605095,0.2559523809523809,0.2311827956989247,0.5306122448979592
69,2HXL_422,2HXL.pdb,2HXL-results_12115.mol2,4.0606,,640.0,,2HXL_422_2HXL-results_12115,,[6.1938200260161125],,6.1938200260161125,0.2352941176470588,0.2666666666666666,0.281437125748503,0.5
70,2HXL_422,2HXL.pdb,2HXL-results_12116.mol2,4.6408,,30.0,,2HXL_422_2HXL-results_12116,,[7.522878745280337],,7.522878745280337,0.1787709497206704,0.2321428571428571,0.2267441860465116,0.6846153846153846
71,2HXL_422,2HXL.pdb,2HXL-results_12123.mol2,5.113,,59.0,,2HXL_422_2HXL-results_12123,,[7.229147988357855],,7.229147988357855,0.1684782608695652,0.2571428571428571,0.2307692307692307,1.0
72,2HXL_422,2HXL.pdb,2HXL-results_12124.mol2,5.3657,,12.0,,2HXL_422_2HXL-results_12124,,[7.920818753952375],,7.920818753952375,0.1787709497206704,0.2555555555555555,0.2459016393442623,1.0
73,2HXL_422,2HXL.pdb,2HXL-results_12125.mol2,4.5211,,48.0,,2HXL_422_2HXL-results_12125,,[7.318758762624412],,7.318758762624412,0.1761363636363636,0.2417582417582417,0.2459016393442623,1.0
74,2HXL_422,2HXL.pdb,2HXL-results_12126.mol2,5.4015,,3.0,,2HXL_422_2HXL-results_12126,,[8.522878745280337],,8.522878745280337,0.1657458563535911,0.2349726775956284,0.2391304347826087,1.0
75,2HXL_422,2HXL.pdb,2HXL-results_12127.mol2,4.6322,,30.0,,2HXL_422_2HXL-results_12127,,[7.522878745280337],,7.522878745280337,0.1703296703296703,0.2391304347826087,0.2432432432432432,1.0
76,2HXL_422,2HXL.pdb,2HXL-results_12128.mol2,5.0359,,110.0,,2HXL_422_2HXL-results_12128,,[6.958607314841775],,6.958607314841775,0.1722222222222222,0.2417582417582417,0.2459016393442623,1.0
77,2HXL_422,2HXL.pdb,2HXL-results_12129.mol2,4.3777,,34.0,,2HXL_422_2HXL-results_12129,,[7.468521082957745],,7.468521082957745,0.1657458563535911,0.2417582417582417,0.2393617021276596,1.0
78,2HXL_422,2HXL.pdb,2HXL-results_12130.mol2,3.8759,,45.0,,2HXL_422_2HXL-results_12130,,[7.346787486224656],,7.346787486224656,0.2640449438202247,0.2568306010928962,0.3050847457627119,1.0
79,2HXL_422,2HXL.pdb,2HXL-results_12131.mol2,6.6136,,0.3,,2HXL_422_2HXL-results_12131,,[9.522878745280337],,9.522878745280336,0.1746031746031746,0.2263157894736842,0.2433862433862433,1.0
80,2HXL_422,2HXL.pdb,2HXL-results_12134.mol2,6.5077,,0.25,,2HXL_422_2HXL-results_12134,,[9.602059991327963],,9.602059991327964,0.1789473684210526,0.2513089005235602,0.2552083333333333,1.0
81,2HXL_422,2HXL.pdb,2HXL-results_50195215.mol2,8.6022,,12.0,,2HXL_422_2HXL-results_50195215,,[7.920818753952375],,7.920818753952375,0.1901840490797546,0.225,0.2228260869565217,0.5533333333333333
82,1I8Z_INL,1I8Z.pdb,1I8Z-results_11390.mol2,3.9764,,1.0,,1I8Z_INL_1I8Z-results_11390,,[9.0],,9.0,0.1757575757575757,0.2180851063829787,0.2235294117647059,0.2247191011235955
83,1I8Z_INL,1I8Z.pdb,1I8Z-results_11391.mol2,4.8713,,1.0,,1I8Z_INL_1I8Z-results_11391,,[9.0],,9.0,0.2025316455696202,0.2198952879581152,0.2470588235294117,0.2265193370165746
84,1I8Z_INL,1I8Z.pdb,1I8Z-results_11397.mol2,3.7748,0.26,2.0,,1I8Z_INL_1I8Z-results_11397,[9.585026652029182],[8.698970004336019],,9.585026652029182,0.1488095238095238,0.1704545454545454,0.2251655629139073,0.2037037037037037
85,1I8Z_INL,1I8Z.pdb,1I8Z-results_11398.mol2,4.3943,0.15,1.0,,1I8Z_INL_1I8Z-results_11398,[9.823908740944319],[9.0],,9.82390874094432,0.152317880794702,0.1257485029940119,0.1476510067114094,0.1538461538461538
86,1I8Z_INL,1I8Z.pdb,1I8Z-results_11399.mol2,3.4423,0.1,1.0,,1I8Z_INL_1I8Z-results_11399,[10.0],[9.0],,10.0,0.1383647798742138,0.1242937853107344,0.141025641025641,0.1383647798742138
87,1I8Z_INL,1I8Z.pdb,1I8Z-results_11400.mol2,3.8925,0.21,1.0,,1I8Z_INL_1I8Z-results_11400,[9.67778070526608],[9.0],,9.67778070526608,0.1529411764705882,0.1741573033707865,0.2207792207792207,0.1927710843373494
88,1I8Z_INL,1I8Z.pdb,1I8Z-results_11401.mol2,2.5616,0.21,1.0,,1I8Z_INL_1I8Z-results_11401,[9.67778070526608],[9.0],,9.67778070526608,0.1533742331288343,0.1550802139037433,0.1490683229813664,0.1550802139037433
89,1I8Z_INL,1I8Z.pdb,1I8Z-results_11406.mol2,3.6591,0.27,1.0,,1I8Z_INL_1I8Z-results_11406,[9.568636235841012],[9.0],,9.568636235841012,0.1590909090909091,0.1767955801104972,0.217391304347826,0.188235294117647
90,1I8Z_INL,1I8Z.pdb,1I8Z-results_11409.mol2,3.4454,0.33,1.0,,1I8Z_INL_1I8Z-results_11409,[9.481486060122112],[9.0],,9.481486060122112,0.1445086705202312,0.1657458563535911,0.2258064516129032,0.1904761904761904
91,1I8Z_INL,1I8Z.pdb,1I8Z-results_11411.mol2,3.4671,0.16,0.99,,1I8Z_INL_1I8Z-results_11411,[9.795880017344075],[9.00436480540245],,9.795880017344077,0.1428571428571428,0.1703296703296703,0.2086330935251798,0.1812865497076023
92,1I8Z_INL,1I8Z.pdb,1I8Z-results_11421.mol2,3.2733,0.11,1.0,,1I8Z_INL_1I8Z-results_11421,[9.958607314841775],[9.0],,9.958607314841776,0.2086330935251798,0.1917808219178082,0.1807909604519774,0.23125
93,1I8Z_INL,1I8Z.pdb,1I8Z-results_11422.mol2,3.6971,0.08,1.0,,1I8Z_INL_1I8Z-results_11422,[10.096910013008056],[9.0],,10.096910013008056,0.2032085561497326,0.2125,0.3151515151515151,0.2204301075268817
94,1I8Z_INL,1I8Z.pdb,1I8Z-results_11423.mol2,3.9126,0.12,2.0,,1I8Z_INL_1I8Z-results_11423,[9.920818753952375],[8.698970004336019],,9.920818753952377,0.1745283018867924,0.2320441988950276,0.2906976744186046,0.2319587628865979
95,1I8Z_INL,1I8Z.pdb,1I8Z-results_11425.mol2,2.8853,0.16,0.6,,1I8Z_INL_1I8Z-results_11425,[9.795880017344075],[9.221848749616356],,9.795880017344077,0.1607142857142857,0.1724137931034483,0.1970802919708029,0.1724137931034483
96,1I8Z_INL,1I8Z.pdb,1I8Z-results_11938.mol2,2.5402,,,0.13,1I8Z_INL_1I8Z-results_11938,,,[9.886056647693163],9.886056647693165,0.2238805970149253,0.2105263157894736,0.1985815602836879,0.2328767123287671
97,1XM6_5RM,1XM6.pdb,1XM6-results_14361.mol2,8.0463,,570,,1XM6_5RM_1XM6-results_14361,,[6.2441251443275085],,6.2441251443275085,0.2094594594594594,0.1751824817518248,0.24,0.3061224489795918
98,1XM6_5RM,1XM6.pdb,1XM6-results_14772.mol2,8.0836,,420,,1XM6_5RM_1XM6-results_14772,,[6.376750709602099],,6.376750709602099,0.1968503937007874,0.2016129032258064,0.1830065359477124,0.3233082706766917
99,1O44_852,1O44.pdb,1O44-results_14690.mol2,16.5581,,3.0,,1O44_852_1O44-results_14690,,[8.522878745280337],,8.522878745280337,0.2634146341463415,0.2129629629629629,0.3067729083665338,0.2692307692307692
100,1O44_852,1O44.pdb,1O44-results_14691.mol2,10.0554,,0.25,,1O44_852_1O44-results_14691,,[9.602059991327963],,9.602059991327964,0.2663316582914573,0.2200956937799043,0.2935323383084577,0.2716535433070866
101,1O44_852,1O44.pdb,1O44-results_14694.mol2,13.1226,,450.0,,1O44_852_1O44-results_14694,,[6.346787486224656],,6.346787486224656,0.2791878172588832,0.2200956937799043,0.3110236220472441,0.2817460317460317
102,1O44_852,1O44.pdb,1O44-results_14696.mol2,10.4445,,120.0,,1O44_852_1O44-results_14696,,[6.920818753952375],,6.920818753952375,0.28125,0.2266009852216748,0.3025641025641025,0.2834008097165992
103,1O44_852,1O44.pdb,1O44-results_14698.mol2,12.1158,,2200.0,,1O44_852_1O44-results_14698,,[5.657577319177793],,5.657577319177793,0.2690355329949238,0.2222222222222222,0.2964824120603015,0.2690355329949238
104,3I4A_LN5,3I4A.pdb,3I4A-results_50240714.mol2,12.415,,207000,,3I4A_LN5_3I4A-results_50240714,,[3.684029654543082],,3.684029654543082,0.0955882352941176,0.0921052631578947,0.2784810126582278,0.1037037037037037
105,3I4A_LN5,3I4A.pdb,3I4A-results_50240715.mol2,12.4343,2000.0,13000,,3I4A_LN5_3I4A-results_50240715,[5.698970004336019],[4.886056647693163],,5.698970004336019,0.0984848484848484,0.08,0.2933333333333333,0.1068702290076335
106,3I4A_LN5,3I4A.pdb,3I4A-results_50240716.mol2,12.0953,,283000,,3I4A_LN5_3I4A-results_50240716,,[3.54821356447571],,3.54821356447571,0.1119402985074626,0.0921052631578947,0.2784810126582278,0.1119402985074626
107,3I4A_LN5,3I4A.pdb,3I4A-results_50240959.mol2,12.15,13000.0,29000,,3I4A_LN5_3I4A-results_50240959,[4.886056647693163],[4.5376020021010435],,4.886056647693163,0.1007751937984496,0.0897435897435897,0.2650602409638554,0.1188118811881188
108,3I4A_LN5,3I4A.pdb,3I4A-results_50254449.mol2,10.568,,79000,,3I4A_LN5_3I4A-results_50254449,,[4.102372908709558],,4.102372908709558,0.1037037037037037,0.0779220779220779,0.2784810126582278,0.1037037037037037
109,3I4A_LN5,3I4A.pdb,3I4A-results_50254450.mol2,11.3629,,300000,,3I4A_LN5_3I4A-results_50254450,,[3.5228787452803374],,3.5228787452803374,0.119047619047619,0.0821917808219178,0.3098591549295774,0.119047619047619
110,3I4A_LN5,3I4A.pdb,3I4A-results_50254451.mol2,13.7826,57000.0,189000,,3I4A_LN5_3I4A-results_50254451,[4.2441251443275085],[3.7235381958267557],,4.2441251443275085,0.0928571428571428,0.0897435897435897,0.2650602409638554,0.1007194244604316
111,3I4A_LN5,3I4A.pdb,3I4A-results_50254452.mol2,11.6295,,55000,,3I4A_LN5_3I4A-results_50254452,,[4.259637310505756],,4.259637310505756,0.0955882352941176,0.0921052631578947,0.2784810126582278,0.1037037037037037
112,3I4A_LN5,3I4A.pdb,3I4A-results_50255074.mol2,12.2298,,70000,,3I4A_LN5_3I4A-results_50255074,,[4.154901959985743],,4.154901959985743,0.1153846153846153,0.0816326530612244,0.2933333333333333,0.1170212765957446
113,2C6K_DT2,2C6K.pdb,2C6K-results_11430.mol2,9.8588,,7,,2C6K_DT2_2C6K-results_11430,,[8.154901959985743],,8.154901959985743,0.3231707317073171,0.2171428571428571,0.2448979591836734,0.3231707317073171
114,2C6K_DT2,2C6K.pdb,2C6K-results_11431.mol2,10.1083,,8,,2C6K_DT2_2C6K-results_11431,,[8.096910013008056],,8.096910013008056,0.3291925465838509,0.2209302325581395,0.25,0.3291925465838509
115,2C6K_DT2,2C6K.pdb,2C6K-results_11432.mol2,8.4298,,10,,2C6K_DT2_2C6K-results_11432,,[8.0],,8.0,0.3291925465838509,0.2209302325581395,0.25,0.3291925465838509
116,2C6K_DT2,2C6K.pdb,2C6K-results_11449.mol2,7.6723,,730,,2C6K_DT2_2C6K-results_11449,,[6.136677139879544],,6.136677139879544,0.3943661971830985,0.2048192771084337,0.3252032520325203,0.3943661971830985
